continent,location,date,population,new_vaccinations,RollingPeopleVaccinated,Percent_Vaccinated
Asia,Afghanistan,2021-03-13,41128772,,,
Asia,Afghanistan,2021-03-14,41128772,,,
Asia,Afghanistan,2021-03-15,41128772,,,
Asia,Afghanistan,2021-03-16,41128772,,,
Asia,Afghanistan,2021-03-17,41128772,,,
Asia,Afghanistan,2021-03-18,41128772,,,
Asia,Afghanistan,2021-03-19,41128772,,,
Asia,Afghanistan,2021-03-20,41128772,,,
Asia,Afghanistan,2021-03-21,41128772,,,
Asia,Afghanistan,2021-03-22,41128772,,,
Asia,Afghanistan,2021-03-23,41128772,,,
Asia,Afghanistan,2021-03-24,41128772,,,
Asia,Afghanistan,2021-03-25,41128772,,,
Asia,Afghanistan,2021-03-26,41128772,,,
Asia,Afghanistan,2021-03-27,41128772,,,
Asia,Afghanistan,2021-03-28,41128772,,,
Asia,Afghanistan,2021-03-29,41128772,,,
Asia,Afghanistan,2021-03-30,41128772,,,
Asia,Afghanistan,2021-03-31,41128772,,,
Asia,Afghanistan,2021-04-01,41128772,,,
Asia,Afghanistan,2021-04-02,41128772,,,
Asia,Afghanistan,2021-04-03,41128772,,,
Asia,Afghanistan,2021-04-04,41128772,,,
Asia,Afghanistan,2021-04-05,41128772,,,
Asia,Afghanistan,2021-04-06,41128772,,,
Asia,Afghanistan,2021-04-07,41128772,,,
Asia,Afghanistan,2021-04-08,41128772,,,
Asia,Afghanistan,2021-04-09,41128772,,,
Asia,Afghanistan,2021-04-10,41128772,,,
Asia,Afghanistan,2021-04-11,41128772,,,
Asia,Afghanistan,2021-04-12,41128772,,,
Asia,Afghanistan,2021-04-13,41128772,,,
Asia,Afghanistan,2021-04-14,41128772,,,
Asia,Afghanistan,2021-04-15,41128772,,,
Asia,Afghanistan,2021-04-16,41128772,,,
Asia,Afghanistan,2021-04-17,41128772,,,
Asia,Afghanistan,2021-04-18,41128772,,,
Asia,Afghanistan,2021-04-19,41128772,,,
Asia,Afghanistan,2021-04-20,41128772,,,
Asia,Afghanistan,2021-04-21,41128772,,,
Asia,Afghanistan,2021-04-22,41128772,,,
Asia,Afghanistan,2021-04-23,41128772,,,
Asia,Afghanistan,2021-04-24,41128772,,,
Asia,Afghanistan,2021-04-25,41128772,,,
Asia,Afghanistan,2021-04-26,41128772,,,
Asia,Afghanistan,2021-04-27,41128772,,,
Asia,Afghanistan,2021-04-28,41128772,,,
Asia,Afghanistan,2021-04-29,41128772,,,
Asia,Afghanistan,2021-04-30,41128772,,,
Asia,Afghanistan,2021-05-01,41128772,,,
Asia,Afghanistan,2021-05-02,41128772,,,
Asia,Afghanistan,2021-05-03,41128772,,,
Asia,Afghanistan,2021-05-04,41128772,,,
Asia,Afghanistan,2021-05-05,41128772,,,
Asia,Afghanistan,2021-05-06,41128772,,,
Asia,Afghanistan,2021-05-07,41128772,,,
Asia,Afghanistan,2021-05-08,41128772,,,
Asia,Afghanistan,2021-05-09,41128772,,,
Asia,Afghanistan,2021-05-10,41128772,,,
Asia,Afghanistan,2021-05-11,41128772,,,
Asia,Afghanistan,2021-05-12,41128772,,,
Asia,Afghanistan,2021-05-13,41128772,,,
Asia,Afghanistan,2021-05-14,41128772,,,
Asia,Afghanistan,2021-05-15,41128772,,,
Asia,Afghanistan,2021-05-16,41128772,,,
Asia,Afghanistan,2021-05-17,41128772,,,
Asia,Afghanistan,2021-05-18,41128772,,,
Asia,Afghanistan,2021-05-19,41128772,,,
Asia,Afghanistan,2021-05-20,41128772,,,
Asia,Afghanistan,2021-05-21,41128772,,,
Asia,Afghanistan,2021-05-22,41128772,,,
Asia,Afghanistan,2021-05-23,41128772,,,
Asia,Afghanistan,2021-05-24,41128772,,,
Asia,Afghanistan,2021-05-25,41128772,,,
Asia,Afghanistan,2021-05-26,41128772,,,
Asia,Afghanistan,2021-05-27,41128772,2859,2859,0.0069513381046241787
Asia,Afghanistan,2021-05-28,41128772,,2859,0.0069513381046241787
Asia,Afghanistan,2021-05-29,41128772,,2859,0.0069513381046241787
Asia,Afghanistan,2021-05-30,41128772,,2859,0.0069513381046241787
Asia,Afghanistan,2021-05-31,41128772,,2859,0.0069513381046241787
Asia,Afghanistan,2021-06-01,41128772,,2859,0.0069513381046241787
Asia,Afghanistan,2021-06-02,41128772,,2859,0.0069513381046241787
Asia,Afghanistan,2021-06-03,41128772,4015,6874,0.016713360661485346
Asia,Afghanistan,2021-06-04,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-05,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-06,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-07,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-08,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-09,41128772,,6874,0.016713360661485346
